"Subject 
(name of deposit data)"	age	gender
Japanese001	28	female
Japanese002	31	male
Japanese003	60	male
Japanese004	57	male
Japanese005	29	male
Japanese007	35	male
Japanese008	62	male
Japanese010	28	female
Japanese011	60	female
Japanese012	30	male
Japanese013	34	male
Japanese014	26	female
Japanese017	25	female
Japanese018	26	female
Japanese019	26	female
Japanese020	36	male
Japanese022	27	female
Japanese023	25	male
Japanese024	29	male
Japanese025	31	male
Japanese027	47	female
Japanese028	62	male
Japanese029	31	male
Japanese030	51	male
Japanese031	32	male
Japanese032	32	male
Japanese033	27	female
Japanese034	37	female
Japanese035	38	male
Japanese036	45	male
Japanese037	32	male
Japanese038	26	female
Japanese041	40	female
Japanese042	35	female
Japanese043	54	male
Japanese044	26	female
Japanese045	23	male
Japanese046	21	male
Japanese047	40	female
Japanese048	42	male
Japanese049	35	male
Japanese050	56	female
Japanese051	33	female
Japanese052	50	female
Japanese053	37	female
Japanese054	45	female
Japanese055	46	female
Japanese056	47	female
Japanese057	36	female
Japanese058	37	female
Japanese059	29	female
Japanese060	65	female
Japanese061	40	male
Japanese062	40	female
Japanese063	54	female
Japanese064	36	male
Japanese065	35	female
Japanese066	35	female
Japanese067	45	female
Japanese068	38	female
Japanese069	34	female
Japanese070	40	female
Japanese071	57	female
Japanese072	35	female
Japanese073	52	female
Japanese074	40	female
Japanese075	41	female
Japanese076	36	female
Japanese077	46	female
Japanese078	21	male
Japanese079	34	male
Japanese080	35	female
Japanese081	45	male
Japanese082	22	male
Japanese083	20	female
Japanese084	55	female
Japanese087	56	female
Japanese088	53	male
Japanese089	60	male
Japanese090	35	male
Japanese091	48	male
Japanese092	34	male
Japanese093	39	female
Japanese094	57	female
Japanese095	59	male
Japanese097	44	male
Japanese098	55	female
Japanese099	41	female
Japanese100	43	female
Japanese101	45	female
Japanese102	28	male
Japanese103	27	male
Japanese104	60	female
Japanese105	64	female
Japanese106	28	male
Japanese107	28	male
Japanese108	22	male
Japanese109	25	female
Japanese110	21	female
Japanese111	23	female
Japanese112	29	male
Japanese113	63	female
Japanese114	60	female
Japanese115	28	female
Japanese116	40	male
Japanese117	36	female
Japanese118	4	female
Japanese119	1,416666667	male
Japanese120	65	female
Japanese121	66	male
Japanese122	65	female
Japanese123	33	male
Japanese124	33	female
Japanese125	5	male
Japanese126	33	male
Japanese127	33	female
Japanese128	0,666666667	male
Japanese129	32	male
Japanese130	33	female
Japanese131	0,916666667	female
Japanese132	66	male
Japanese133	60	female
Japanese134	61	female
Japanese135	32	male
Japanese136	0	male
Japanese137	65	female
Japanese138	32	male
Japanese139	30	female
Japanese140	6	female
Japanese141	0,333333333	female
Japanese142	24	female
Japanese143	18	female
Japanese144	53	female
Japanese145	55	male
Japanese146	80	female
Japanese147	60	female
Japanese148	65	male
Japanese149	29	female
Japanese150	0,5	male
Japanese151	31	male
Japanese152	30	female
Japanese153	3	male
Japanese154	8	female
Japanese155	38	male
Japanese156	42	female
Japanese157	35	female
Japanese158	32	male
Japanese159	2	male
Japanese160	22	female
Japanese161	62	male
Japanese162	50	male
Japanese163	50	female
Japanese164	17	male
Japanese165	12	female
Japanese166	52	male
Japanese167	51	female
Japanese168	18	male
Japanese169	19	male
Japanese170	77	female
Japanese171	48	male
Japanese172	10	male
Japanese173	37	male
Japanese174	37	female
Japanese175	2	male
Japanese176	32	male
Japanese177	33	female
Japanese178	3	male
Japanese179	0,25	female
Japanese180	3	female
Japanese181	33	male
Japanese182	32	female
Japanese183	1,25	female
Japanese186	12	male
Japanese187	37	male
Japanese188	34	female
Japanese189	2	female
Japanese190	36	female
Japanese191	62	female
Japanese192	49	female
Japanese193	9	male
Japanese194	51	male
Japanese195	31	female
Japanese196	31	male
Japanese197	31	female
Japanese198	31	male
Japanese199	78	male
Japanese200	75	female
Japanese201	51	male
Japanese202	48	female
Japanese203	14	male
Japanese204	9	female
Japanese205	1,666666667	female
Japanese206	51	male
Japanese207	52	female
Japanese208	23	female
Japanese209	44	male
Japanese210	44	female
Japanese211	10	female
Japanese212	8	male
Japanese213	4	female
Japanese214	37	male
Japanese215	49	male
Japanese216	33	female
Japanese217	33	male
Japanese218	1	male
Japanese219	3	male
Japanese220	3	male
Japanese221	5	female
Japanese222	34	male
Japanese223	36	female
Japanese224	34	female
Japanese225	67	male
Japanese226	63	female
Japanese227	39	female
Japanese228	2	male
Japanese229	41	male
Japanese230	63	female
Japanese231	71	male
Japanese232	34	male
Japanese233	38	female
Japanese234	3	female
Japanese235	8	male
Japanese236	37	male
Japanese237	35	female
Japanese238	5	female
Japanese239	3	female
Japanese240	34	male
Japanese241	31	female
Japanese242	4	male
Japanese243	0,333333333	male
Japanese244	81	male
