"Subject 
(name of deposit data)",g__[Eubacterium],g__[Prevotella],g__[Ruminococcus],g__1-68,g__Acidaminococcus,g__Acinetobacter,g__Actinomyces,g__Adlercreutzia,g__Akkermansia,g__Alistipes,g__Anaerococcus,g__Anaerofustis,g__Anaerostipes,g__Anaerotruncus,g__Atopobium,g__Bacillus,g__Bacteroides,g__Bifidobacterium,g__Bilophila,g__Blautia,g__Bulleidia,g__Butyricicoccus,g__Butyricimonas,g__Campylobacter,g__Catenibacterium,g__cc_115,g__Cetobacterium,g__Christensenella,g__Citrobacter,g__Cloacibacillus,g__Clostridium_Clostridiaceae,g__Clostridium_Lachnospiraceae,g__Clostridium,g__Collinsella,g__Comamonas,g__Coprobacillus,g__Coprococcus,g__Corynebacterium,g__Desulfovibrio,g__Dialister,g__Dorea,g__Edwardsiella,g__Eggerthella,g__Enterococcus,g__Epulopiscium,g__Escherichia,g__Faecalibacterium,g__Finegoldia,g__Fusobacterium,g__Gemmiger,g__Granulicatella,g__Haemophilus,g__Holdemania,g__Klebsiella,g__Lachnobacterium,g__Lachnospira,g__Lactobacillus,g__Lactococcus,g__Leuconostoc,g__Megamonas,g__Megasphaera,g__Mitsuokella,g__Mogibacterium,g__Morganella,g__Mucispirillum,g__Odoribacter,g__Oribacterium,g__Oscillospira,g__Oxalobacter,g__p-75-a5,g__Parabacteroides,g__Paraprevotella,g__Parvimonas,g__Pediococcus,g__Peptococcus,g__Peptoniphilus,g__Phascolarctobacterium,g__Porphyromonas,g__Prevotella,g__Propionibacterium,g__Providencia,g__Pseudomonas,g__Pseudoramibacter_Eubacterium,g__rc4-4,g__RFN20,g__Rikenella,g__Roseburia,g__Rothia,g__Ruminococcus,g__Serratia,g__Slackia,g__SMB53,g__Sphingomonas,g__Staphylococcus,g__Streptococcus,g__Succinivibrio,g__Sutterella,g__Synergistes,g__Turicibacter,g__Veillonella,g__WAL_1855D,g__Weissella,age
Japanese001,0.0,0.0,0.067905646890636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08506075768406,0.06647605432451799,0.0,0.363831308077198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.135811293781272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040743388134382004,0.0,0.017869907076483,0.017155110793423998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022158684774839003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060042887776984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023588277340957996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01072194424589,0.0,0.0,0.0,0.0,0.0,20-60
Japanese002,0.0,0.0,0.013544763792533998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040964651470102004,0.0,0.550049554013875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085893624050215,0.0,0.0,0.0,0.05781301618764499,0.0,0.0,0.0,0.0,0.0,0.012884043607532,0.0,0.0,0.004955401387512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011562603237529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-60
Japanese003,0.078353253652058,0.0,0.019477644975652998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430942895086321,0.008853474988933002,0.0,0.107127047366091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00597609561753,0.0,0.0,0.0,0.0,0.0,0.020362992474546003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022797698096502995,0.0,0.0066401062417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010845506861443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015050907481186001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.173306772908366,0.0,0.041389995573263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017706949977870003,0.0,0.0,0.0,0.0,0.0,
Japanese004,0.0,0.0,0.049162958253867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.076923076923077,0.021402839584658002,0.0,0.15532951896588199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010171646535283001,0.0,0.0,0.0,0.0,0.0,0.05975842339478701,0.0,0.0,0.0,0.009747827929646,0.0,0.0,0.0,0.0,0.0,0.05552023733841901,0.0,0.0,0.043653316380589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017800381436745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023310023310020005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226107226107226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006145369781733001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-60
Japanese005,0.0,0.0,0.020423228346457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061515748031499996,0.0,0.0,0.0,0.16560039370078697,0.015009842519685,0.0,0.126476377952755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005413385826772001,0.0,0.0,0.0,0.0,0.0,0.086614173228346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062746062992126,0.0,0.0,0.09005905511810999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017224409448820003,0.0,0.005167322834646,0.0,0.0,0.019438976377953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040600393700787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23892716535432998,0.0,0.0061515748031499996,0.0,0.0,0.0,0.0,0.0,0.009350393700786998,0.0,0.008858267716535001,0.0,0.0,0.0,0.0,0.0,20-60
Japanese007,0.0,0.0,0.045454545454545005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028665028665029995,0.16052416052416,0.0,0.0,0.271908271908271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124488124488124,0.0,0.0,0.0,0.023751023751024,0.0,0.0,0.0,0.0,0.0,0.16420966420966399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006142506142506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-60
Japanese008,0.14700755374782098,0.0,0.04328878558977299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00348634514817,0.0,0.0,0.0,0.062754212667054,0.0,0.0,0.11098198721673401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026147588611272997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028181289947705003,0.0,0.0,0.016269610691458002,0.0,0.012783265543289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007263219058686999,0.0,0.0,0.013654851830331001,0.0023242300987800003,0.0,0.0,0.0,0.0,0.0,0.0,0.174026728646135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101685066821615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188553166763509,0.0,0.019465427077281,0.0,0.0,0.0,0.0,0.0,
Japanese010,0.0,0.0,0.044487427466150996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006576402321083,0.0,0.0,0.0,0.10793036750483499,0.022050290135397003,0.0,0.215860735009671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009284332688588002,0.0,0.0,0.0,0.0,0.0,0.092456479690522,0.0,0.0,0.0,0.022437137330754,0.0,0.0,0.0,0.0,0.0,0.054932301740812005,0.0,0.0,0.08626692456479701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007736943907157,0.0,0.0,0.004642166344294001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13500967117988302,0.0,0.025918762088975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20-60
Japanese011,0.0,0.0,0.061728395061727996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005338672005339001,0.049049049049049,0.001668335001668,0.43043043043043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002335669002336,0.005338672005339001,0.0,0.0,0.0,0.0,0.16850183516850098,0.0,0.0,0.0,0.052719386052719,0.0,0.0,0.0,0.0,0.0,0.012679346012678998,0.0,0.0,0.043043043043042996,0.0,0.0,0.001668335001668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004337671004338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020353687020354002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Japanese012,0.0,0.0,0.02664927320164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031680954155799998,0.0,0.0,0.0,0.43011554230339105,0.0,0.0,0.21580320536712602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021431233693626997,0.000931792769288,0.005404398061870999,0.0,0.0,0.0,0.08647036898993699,0.0,0.0,0.0,0.003354453969437,0.0,0.0,0.0,0.0,0.0,0.028699217294074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001863585538576,0.0,0.005404398061870999,0.0,0.0,0.019008572493477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018449496831905,0.0,0.0,0.0052180395080129996,0.0,0.0,0.0031680954155799998,0.0,0.006522549385016999,0.0,0.0024226612001490002,0.0,0.0,0.0,20-60
